"fetched_at_utc","station_id","name","lat","lon","capacity","address","post_code","region_id"
"2026-09-20T15:40:54","PIB:Station:1866","Tellplatz - Bern",46.961857,7.459266,50,"Parkstrasse 54","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1867","Schönburg - Bern",46.95382,7.45818,50,"Spitalackerstrasse 3","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1868","Kasernenstrasse - Bern",46.95495,7.4598145,50,"Funkerstrasse 26","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1869","Kasernenwiese - Bern",46.958595,7.4569297,50,"Rütlistrasse 2","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1870","Tellstrasse - Bern",46.960327,7.4614544,50,"Wankdorfstrasse 1","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1871","Stadion Wankdorf - Bern",46.962734,7.462758,50,"Sempachstrasse 22a","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1872","Sporthalle Wankdorf - Bern",46.96448,7.466948,50,"Papiermühlestrasse 91","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1873","Bahnhof Wankdorf Süd  - Bern",46.966583,7.4639626,80,"Wankdorffeldstrasse 70","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1874","Bahnhof Wankdorf Nord - Bern",46.9679,7.4652033,50,"Trüsselstrasse 4a","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1875","Stauffacherstrasse - Bern",46.966248,7.455832,50,"Stauffacherstrasse 65","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1876","Altenbergstrasse - Bern",46.95052,7.4515915,50,"Altenbergstrasse 88a","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1877","Salem-Spital - Bern",46.952698,7.454582,50,"Schänzlistrasse 33","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1878","Dändlikerweg - Bern",46.964798,7.44842,50,"Dändlikerrain 3","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1879","Greyerzstrasse - Bern",46.955406,7.448853,50,"Greyerzstrasse 24","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1880","Wyttenbachstrasse - Bern",46.95401,7.446931,50,"Schänzlihalde 32A","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1882","Wylerringstrasse - Bern",46.963005,7.4498057,50,"Wylerringstrasse 36","3014","PIB:Region:41"
